t_date,item_code
13.09.2017,TELTA
12.09.2017,ZEILTA
11.09.2017,KILYOS OTEL
11.09.2017,EGEMEN TURIZM
11.09.2017,MEA GIDA TURIZM ORGA
08.09.2017,ALPHA
07.09.2017,KERVAN KURUYEMIS
07.09.2017,LAMBDA
07.09.2017,EPSILON
05.09.2017,KANYON 141 BURGER KI
05.09.2017,RHO
05.09.2017,TELTA
28.08.2017,CAROUSEL
28.08.2017,BEITA
28.08.2017,RHO
28.08.2017,ERSONMEZ INSAAT VE T
24.08.2017,ALPHA
24.08.2017,DECATHLON - FORUM MA
24.08.2017,ZEILTA
21.08.2017,TELTA
18.08.2017,E01TA
16.08.2017,E01TA
14.08.2017,KUKA KAFE
14.08.2017,ALPHA
09.08.2017,GAMMA
02.08.2017,TELTA
01.08.2017,OMICRON
01.08.2017,ALPHA
31.07.2017,KAPPA
31.07.2017,ZEILTA
31.07.2017,OMICRON
31.07.2017,OMICRON
28.07.2017,TELTA
26.07.2017,TELTA
26.07.2017,ALPHA
24.07.2017,TELTA
24.07.2017,EPSILON
24.07.2017,TELTA
24.07.2017,GAMMA
17.07.2017,TELTA
17.07.2017,CAROUSEL
17.07.2017,ALPHA
17.07.2017,EPSILON
17.07.2017,RHO
17.07.2017,DELTA
17.07.2017,ZEILTA
14.07.2017,TELTA
14.07.2017,RHO
13.07.2017,TELTA
13.07.2017,OMICRON
12.07.2017,RHO
12.07.2017,CAROUSEL
12.07.2017,KAPPA
12.07.2017,ALPHA
12.07.2017,TELTA
11.07.2017,RHO
11.07.2017,KAPPA
10.07.2017,ALPHA
10.07.2017,ZEILTA
10.07.2017,ALPHA
10.07.2017,OMICRON
10.07.2017,OMICRON
10.07.2017,OMICRON
10.07.2017,RHO
10.07.2017,DELTA
07.07.2017,BLACK AND WHITE
07.07.2017,CIKOLATA DUKKANI MOD
07.07.2017,CAROUSEL
07.07.2017,OMICRON
06.07.2017,RHO
05.07.2017,TELTA
05.07.2017,DELTA
05.07.2017,ZEILTA
04.07.2017,TELTA
04.07.2017,PIO1
04.07.2017,ZEILTA
04.07.2017,ZEILTA
29.06.2017,ZEILTA
29.06.2017,TELTA
28.06.2017,TELTA
28.06.2017,ALPHA
22.06.2017,ZEILTA
21.06.2017,TELTA
21.06.2017,ALPHA
21.06.2017,ALPHA
20.06.2017,ZEILTA
20.06.2017,TELTA
20.06.2017,DELTA
19.06.2017,KOTON01
16.06.2017,BEITA
14.06.2017,RHO
08.06.2017,TELTA
06.06.2017,COLLEZZINE
06.06.2017,ZEILTA
05.06.2017,BEITA
29.05.2017,ALPHA
25.05.2017,PIO1
24.05.2017,ZEILTA
24.05.2017,RHO
24.05.2017,DELTA
24.05.2017,ALPHA
24.05.2017,OMICRON
22.05.2017,ZEILTA
22.05.2017,TELTA
22.05.2017,ALPHA
22.05.2017,RHO
22.05.2017,RHO
22.05.2017,EPSILON
22.05.2017,TELTA
15.05.2017,TELTA
15.05.2017,ALPHA
15.05.2017,DELTA
15.05.2017,EPSILON
15.05.2017,RHO
11.05.2017,RHO
10.05.2017,BLACK AND WHITE
